DishID,Name,CookTime,GameCharacter,IconPath
6,牛肉,3,103,Assets/Sprites/Icons/meat_icon.png
7,卷心菜,3,104,Assets/Sprites/Icons/cabage_icon.png
8,鸡腿,3,105,Assets/Sprites/Icons/chicken_icon.png
9,土豆,3,106,Assets/Sprites/Icons/potato_icon.png
10,番茄,3,107,Assets/Sprites/Icons/tomato_icon.png
11,鱼,3,108,Assets/Sprites/Icons/fish_icon.png
12,烤鱼,3,204,Assets/Sprites/Icons/fishdish_icon.png
13,土豆咖喱牛腩,3,205,Assets/Sprites/Icons/beafsoup_icon.png
14,葱鸡腿,3,206,Assets/Sprites/Icons/Onionchicken_icon.png
100,废菜,3,203,0
