ObjectID,ObjectName,ObjectType,BindPrefab,InitModifier
5,减速子弹,Bullet,CC_Bullet_1,16002
2,基础防御塔,Tower,CC_Object_Tower,12001|12004
3,基础子弹,Bullet,CC_Bullet_1,8002
4,空Character作为SpawenRoot,SpawnRoot,GO_SpawnRoot_1,0
101,番茄,Dish,GO_Dish_Potato,0
102,鸡蛋,Dish,GO_Dish_Egg,0
201,炒番茄,Dish,GO_Dish_Dish1,0
202,炒鸡蛋,Dish,GO_Dish_Dish2,0
203,番茄炒蛋,Dish,GO_Dish_Dish3,0
1001,基础敌人,Enemy,CC_Enemy_01,0
1002,基础敌人,Enemy,CC_Enemy_02,0
1003,基础敌人,Enemy,CC_Enemy_03,0
103,牛肉,Dish,GO_Dish_steak,0
104,卷心菜,Dish,GO_Dish_lettuce,0
105,鸡腿,Dish,GO_Dish_ham,0
106,土豆,Dish,GO_Dish_Potato,0
107,番茄,Dish,GO_Dish_tomato,0
108,鱼,Dish,GO_Dish_fish,0
204,烤鱼,Dish,GO_Dish_Grilled_Fish,0
205,土豆咖喱牛腩,Dish,GO_Dish_Potato_curry_beef_brisket,0
206,葱鸡腿,Dish,GO_Dish_Scallion_Chicken_Drumsticks,0
207,满汉全席,Dish,,0
10,散射防御塔,Tower,CC_Object_Tower_Scatter,12002|12004
11,减速防御塔,Tower,CC_Object_Tower_Slow,12003|12004
20,散射子弹,Bullet,CC_Bullet_Scatter,8002
21,减速子弹,Bullet,CC_Bullet_Slow,8003|14002
